TIME ms, IN2,no_offset
-0.381,0.229815,0.261367108
-0.386,0.10145,0.133002108
-0.391,-0.540371,-0.508818892
-0.396,-0.091096,-0.059543892
-0.4,-0.155278,-0.123725892
-0.405,0.229815,0.261367108
-0.41,-0.155278,-0.123725892
-0.415,-0.21946,-0.187907892
-0.42,-0.21946,-0.187907892
-0.425,-0.155278,-0.123725892
-0.43,0.486543,0.518095108
-0.435,0.10145,0.133002108
-0.439,-0.540371,-0.508818892
-0.444,-0.540371,-0.508818892
-0.449,0.165632,0.197184108
-0.454,-0.091096,-0.059543892
-0.459,0.486543,0.518095108
-0.464,0.807454,0.839006108
-0.469,0.293997,0.325549108
-0.474,-0.476189,-0.444636892
-0.479,-0.861282,-0.829729892
-0.483,-0.604553,-0.573000892
-0.488,-0.861282,-0.829729892
-0.493,0.10145,0.133002108
-0.498,-0.347825,-0.316272892
-0.503,0.037268,0.068820108
-0.508,-0.091096,-0.059543892
-0.513,0.10145,0.133002108
-0.518,0.293997,0.325549108
-0.522,0.165632,0.197184108
-0.527,0.229815,0.261367108
-0.532,0.037268,0.068820108
-0.537,0.358179,0.389731108
-0.542,0.229815,0.261367108
-0.547,0.743272,0.774824108
-0.552,0.422361,0.453913108
-0.557,0.550725,0.582277108
-0.562,0.550725,0.582277108
-0.566,0.550725,0.582277108
-0.571,0.550725,0.582277108
-0.576,0.807454,0.839006108
-0.581,0.422361,0.453913108
-0.586,0.229815,0.261367108
-0.591,0.486543,0.518095108
-0.596,0.229815,0.261367108
-0.601,-0.797099,-0.765546892
-0.605,-0.026914,0.004638108
-0.61,-0.540371,-0.508818892
-0.615,0.165632,0.197184108
-0.62,0.229815,0.261367108
-0.625,0.165632,0.197184108
-0.63,0.293997,0.325549108
-0.635,0.550725,0.582277108
-0.64,0.422361,0.453913108
-0.645,0.679089,0.710641108
-0.649,0.486543,0.518095108
-0.654,0.614907,0.646459108
-0.659,0.358179,0.389731108
-0.664,-0.026914,0.004638108
-0.669,-0.540371,-0.508818892
-0.674,0.229815,0.261367108
-0.679,0.422361,0.453913108
-0.684,-0.155278,-0.123725892
-0.688,0.165632,0.197184108
-0.693,-0.026914,0.004638108
-0.698,-0.283642,-0.252089892
-0.703,-0.21946,-0.187907892
-0.708,0.293997,0.325549108
-0.713,0.229815,0.261367108
-0.718,-0.21946,-0.187907892
-0.723,-0.091096,-0.059543892
-0.728,-0.091096,-0.059543892
-0.732,0.679089,0.710641108
-0.737,-0.026914,0.004638108
-0.742,0.037268,0.068820108
-0.747,0.037268,0.068820108
-0.752,-0.668735,-0.637182892
-0.757,-0.026914,0.004638108
-0.762,0.037268,0.068820108
-0.767,-0.21946,-0.187907892
-0.771,0.229815,0.261367108
-0.776,-0.026914,0.004638108
-0.781,0.229815,0.261367108
-0.786,-0.21946,-0.187907892
-0.791,-0.155278,-0.123725892
-0.796,-0.155278,-0.123725892
-0.801,-0.21946,-0.187907892
-0.806,-0.347825,-0.316272892
-0.811,-0.732917,-0.701364892
-0.815,-0.861282,-0.829729892
-0.82,-0.476189,-0.444636892
-0.825,-0.476189,-0.444636892
-0.83,-0.989646,-0.958093892
-0.835,-0.668735,-0.637182892
-0.84,0.037268,0.068820108
-0.845,-0.155278,-0.123725892
-0.85,-0.091096,-0.059543892
-0.854,-0.091096,-0.059543892
-0.859,0.165632,0.197184108
-0.864,-0.155278,-0.123725892
-0.869,-0.347825,-0.316272892
-0.874,0.037268,0.068820108
-0.879,0.486543,0.518095108
-0.884,-0.540371,-0.508818892
-0.889,-0.21946,-0.187907892
-0.894,-0.091096,-0.059543892
-0.898,0.10145,0.133002108
-0.903,-0.026914,0.004638108
-0.908,0.293997,0.325549108
-0.913,0.037268,0.068820108
-0.918,-0.476189,-0.444636892
-0.923,-0.283642,-0.252089892
-0.928,0.10145,0.133002108
-0.933,-0.21946,-0.187907892
-0.938,-0.21946,-0.187907892
-0.942,-0.989646,-0.958093892
-0.947,-1.053828,-1.022275892
-0.952,-0.925464,-0.893911892
-0.957,-0.091096,-0.059543892
-0.962,0.165632,0.197184108
-0.967,0.550725,0.582277108
-0.972,-0.21946,-0.187907892
-0.977,-0.412007,-0.380454892
-0.981,-0.155278,-0.123725892
-0.986,0.293997,0.325549108
-0.991,0.293997,0.325549108
-0.996,0.679089,0.710641108
-1.001,0.614907,0.646459108
-1.006,0.165632,0.197184108
-1.011,0.037268,0.068820108
-1.016,-0.155278,-0.123725892
-1.021,0.165632,0.197184108
-1.025,-0.091096,-0.059543892
-1.03,0.10145,0.133002108
-1.035,0.422361,0.453913108
-1.04,0.10145,0.133002108
-1.045,0.229815,0.261367108
-1.05,0.679089,0.710641108
-1.055,0.550725,0.582277108
-1.06,0.486543,0.518095108
-1.064,0.935818,0.967370108
-1.069,0.679089,0.710641108
-1.074,0.679089,0.710641108
-1.079,0.293997,0.325549108
-1.084,0.037268,0.068820108
-1.089,1,1.031552108
-1.094,0.037268,0.068820108
-1.099,0.871636,0.903188108
-1.104,0.807454,0.839006108
-1.108,0.165632,0.197184108
-1.113,-0.026914,0.004638108
-1.118,0.743272,0.774824108
-1.123,0.422361,0.453913108
-1.128,0.486543,0.518095108
-1.133,0.550725,0.582277108
-1.138,-0.476189,-0.444636892
-1.143,-0.668735,-0.637182892
-1.147,-0.21946,-0.187907892
-1.152,-0.604553,-0.573000892
-1.157,0.165632,0.197184108
-1.162,-0.283642,-0.252089892
-1.167,0.229815,0.261367108
-1.172,-0.412007,-0.380454892
-1.177,0.037268,0.068820108
-1.182,0.293997,0.325549108
-1.187,0.679089,0.710641108
-1.191,-0.347825,-0.316272892
-1.196,-0.347825,-0.316272892
-1.201,-0.026914,0.004638108
-1.206,-0.091096,-0.059543892
-1.211,-0.026914,0.004638108
-1.216,0.422361,0.453913108
-1.221,0.037268,0.068820108
-1.226,-0.155278,-0.123725892
-1.23,-0.026914,0.004638108
-1.235,0.293997,0.325549108
-1.24,0.165632,0.197184108
-1.245,0.358179,0.389731108
-1.25,-0.091096,-0.059543892
-1.255,-0.21946,-0.187907892
-1.26,-0.347825,-0.316272892
-1.265,-0.668735,-0.637182892
-1.27,-0.668735,-0.637182892
-1.274,-1.11801,-1.086457892
-1.279,-1.053828,-1.022275892
-1.284,-0.861282,-0.829729892
-1.289,-0.155278,-0.123725892
-1.294,-0.668735,-0.637182892
-1.299,-0.604553,-0.573000892
-1.304,-0.732917,-0.701364892
-1.309,-0.476189,-0.444636892
-1.313,-0.283642,-0.252089892
-1.318,-0.347825,-0.316272892
-1.323,-0.026914,0.004638108
-1.328,-0.026914,0.004638108
-1.333,-0.155278,-0.123725892
-1.338,-0.21946,-0.187907892
-1.343,-0.540371,-0.508818892
-1.348,-0.091096,-0.059543892
-1.353,-0.091096,-0.059543892
-1.357,-0.283642,-0.252089892
-1.362,-0.347825,-0.316272892
-1.367,0.037268,0.068820108
-1.372,-0.412007,-0.380454892
-1.377,0.422361,0.453913108
-1.382,0.10145,0.133002108
-1.387,-0.091096,-0.059543892
-1.392,-0.091096,-0.059543892
-1.396,-0.540371,-0.508818892
-1.401,-0.026914,0.004638108
-1.406,0.550725,0.582277108
-1.411,0.229815,0.261367108
-1.416,-0.155278,-0.123725892
-1.421,0.037268,0.068820108
-1.426,-0.347825,-0.316272892
-1.431,-0.347825,-0.316272892
-1.436,0.614907,0.646459108
-1.44,-0.091096,-0.059543892
-1.445,-0.412007,-0.380454892
-1.45,-0.155278,-0.123725892
-1.455,0.422361,0.453913108
-1.46,-0.412007,-0.380454892
-1.465,-0.21946,-0.187907892
-1.47,-0.540371,-0.508818892
-1.475,-0.604553,-0.573000892
-1.479,-1.11801,-1.086457892
-1.484,-0.732917,-0.701364892
-1.489,-0.668735,-0.637182892
-1.494,0.165632,0.197184108
-1.499,0.037268,0.068820108
-1.504,-0.091096,-0.059543892
-1.509,0.743272,0.774824108
-1.514,0.358179,0.389731108
-1.519,0.871636,0.903188108
-1.523,0.486543,0.518095108
-1.528,-0.21946,-0.187907892
-1.533,0.165632,0.197184108
-1.538,-0.21946,-0.187907892
-1.543,-0.604553,-0.573000892
-1.548,0.229815,0.261367108
-1.553,-0.21946,-0.187907892
-1.558,-0.091096,-0.059543892
-1.563,0.358179,0.389731108
-1.567,0.422361,0.453913108
-1.572,0.679089,0.710641108
-1.577,0.10145,0.133002108
-1.582,0.10145,0.133002108
-1.587,-0.026914,0.004638108
-1.592,0.550725,0.582277108
-1.597,0.165632,0.197184108
-1.602,0.293997,0.325549108
-1.606,0.165632,0.197184108
-1.611,-0.155278,-0.123725892
-1.616,-0.476189,-0.444636892
-1.621,-0.026914,0.004638108
